id_news,event,category,address,latitud,longitud
53.427.494,usuarios denunciaron hecho través redes,ciencia,Santiago,-33.4377756,-70.6504502
53.877.912,centrocampista sufrió esguince ligamento rodilla,deportes,Varsovia,52.2319581,21.0067249
53.594.498,empresa refirió lunes multa contra,internacional,RelacionadaDetalle('1140041,,
53.565.756,logró detener sujetos marco robo,accidentes,Tango,-8.0941534,15.6359226
53.878.949,carabinero franco identificado sargento años,accidentes,Teatro Caupolicán,-33.4562166,-70.64923855
53.412.387,medio operativo búsqueda persona lanzado,ciencia,Mapocho,-23.6120366,-70.3843901
53.521.950,joven golpes pies puños palo,accidentes,Barrio Bohemio de Osorno,,
53.876.911,O\'Higgins empataron estadio fecha tiempo,deportes,Rancagua,-34.170249,-70.7407427
53.525.301,reaccionaron anuncio empresa suspender manera,politica,la “,20.0171109,103.378253
53.522.583,actor sufrió accidente piscina vacacionaba,accidentes,Ibiza,38.974390099999994,1.4197463178515335
53.880.020,autoridades salud gobiernos exsubsecretaria exministro,tecnologia,Ministerio de Salud,-33.4364906,-70.6470553
53.561.077,través video tiendas comunicó cerrarán,salud,Eurocentro,-33.442100100000005,-70.65030385455051
53.556.284,dólar abre mañana alza mercado,economia,China,35.000074,104.999927
53.406.952,NoticiasInformación hechos mano reportero fuentes,deportes,estadio Alejandro Villanueva,-12.0685041,-77.0229272261725
53.559.469,Recibió reconocimiento parte municipio región,ciencia,ACHS,46.8083389,7.9534957
53.879.062,reveló encuentro humorista confrontado comunicador,deportes,Mega,39.0989771,139.8809418
53.558.656,viernes realizó audiencia control detención,ciencia,detención,19.90257115,-75.10142153355606
53.427.539,nombre africano historia ganar metros,deportes,Español,24.0501867,-104.6300772
53.420.774,semanas manifestantes salido calles destinos,medio_ambiente,España,39.3260685,-4.8379791
53.555.226,lluvia dirá acuerdo pronóstico tiempo,accidentes,Mega,39.0989771,139.8809418
53.562.194,tropas rescataron rehén operación rescate,accidentes,“,,
53.611.906,sindicato anunciado martes huelga inseguridad,politica,Policía de Bangladesh,,
53.411.666,QUILLOTA.- participó operativo terminó detención,accidentes,La Tetera,-32.893911,-71.2382056
53.417.819,despedido trabajadores » ataques octubre,ciencia,interés,42.2452079,1.707166939113658
53.408.671,NoticiasInformación hechos mano reportero fuentes,politica,“,,
53.554.096,auto práctica sacado circulación mañana,accidentes,Puente Alto,-33.6095279,-70.5754736
53.407.245,NoticiasInformación hechos mano reportero fuentes,medio_ambiente,Hidrología del Perú,-12.0791994,-77.0428641
53.522.346,amplía alianza implementar tecnología plantas,tecnologia,Aspen DMC3,,
